customer_id,age,income,customer_tenure,previous_purchases,average_order_value,website_visits,email_open_rate,discount_usage,recency_days,treatment,purchase_outcome,revenue,true_prob_y0,true_prob_y1,true_ite
C009085,31,53055.75338331125,43,2,160.60299651632712,6,0.29379047201601266,0.10888348013004122,87,1,0,0.0,0.04006968219547631,0.11218843122943024,0.07211874903395393
C006092,22,100917.7477163137,40,3,111.76026675430555,8,0.45711617658453696,0.6353560739293402,148,0,0,0.0,0.038383599332586844,0.2268324000641262,0.18844880073153936
C007629,44,90708.01299118328,28,5,65.95410136841389,10,0.41457604872541765,0.3504132678281612,203,0,0,0.0,0.031111035056097327,0.19153427199063133,0.160423236934534
C018383,44,49272.937983860495,27,3,118.78571576036295,10,0.6655582664029173,0.09394141102164874,234,0,0,0.0,0.02436001797222793,0.16063216766130142,0.1362721496890735
C006391,29,65395.1795274284,6,1,73.88471473913987,5,0.20914474856059714,0.10984487695035616,233,1,0,0.0,0.018766400030083424,0.11608163415206131,0.09731523412197789
C014904,52,42871.84964907816,1,0,51.810798259477764,2,0.5538168364793511,0.10779457839793923,335,1,0,0.0,0.011787558357424541,0.14592787123351025,0.13414031287608572
C017737,48,63822.39831074273,52,7,135.35062087400365,23,0.08514768038797214,0.13949440604596394,259,1,0,0.0,0.020762821475722303,0.08223495723916546,0.06147213576344316
C009061,65,33974.594588607724,12,1,78.38648251359747,3,0.2162662865126847,0.2420727275106412,165,1,0,0.0,0.02310909200217617,0.0,-0.02310909200217617
C006416,54,92109.20239329123,46,7,105.56300371749944,13,0.4622573021277183,0.08305493011061628,142,1,0,0.0,0.047124959840098096,0.13612623051498035,0.08900127067488225
C012023,18,23871.86080432536,48,3,72.38543275901601,3,0.22115458881207428,0.384017886354913,170,0,0,0.0,0.023264501523779395,0.16718045170519652,0.14391595018141712
C015085,57,82272.73164770393,2,1,77.08155209651821,3,0.6142492582569774,0.07130531742954177,199,0,0,0.0,0.028242673588621387,0.13989618812881366,0.11165351454019228
C002639,37,46304.13704705208,18,5,147.8471566479384,13,0.3330005048157454,0.12069324590658345,332,0,0,0.0,0.013941329443996123,0.09110192897365155,0.07716059952965543
C007418,52,73083.1573524134,45,8,123.9321970253324,20,0.13037081521556035,0.44915674731663324,341,0,0,0.0,0.015308809896018785,0.10781059641535735,0.09250178651933857
C009515,68,122072.28145480335,55,6,78.98092509840089,17,0.16075223238535863,0.18179374529506376,163,0,0,0.0,0.03710810216715732,0.0,-0.03710810216715732
C006115,47,82418.90984231718,55,4,88.52581134355938,11,0.12817584973307347,0.28369320890253585,50,1,0,0.0,0.05285230600926057,0.14312717769254468,0.0902748716832841
C007592,47,61072.31392175709,32,5,138.59997965222385,9,0.1017001607727171,0.09904294383294816,67,1,0,0.0,0.047691184738986606,0.10239436899671218,0.05470318425772558
C008230,50,94165.60170146856,42,5,100.87521947451718,17,0.14241654556117542,0.06505729187751347,66,1,0,0.0,0.053041264219766904,0.12351664596184889,0.07047538174208198
C009120,23,71652.43871999462,32,5,92.57697484478318,15,0.15146532313552535,0.07446080193811692,219,1,0,0.0,0.024190520946515,0.08270792130277603,0.05851740035626103
C019249,40,58188.810052281566,3,0,40.5233400880237,1,0.3565436116111457,0.5394804542900343,237,1,0,0.0,0.01840793150384074,0.19821147143601428,0.17980353993217355
C011789,66,70304.67784686586,35,1,84.28282624968539,2,0.16366144151253223,0.5050773753506692,283,0,0,0.0,0.01455718786324526,0.0060599653391264375,-0.008497222524118822
C015273,43,70701.03771848753,43,12,140.1555017174742,28,0.034243936824328775,0.532540070662178,68,0,0,0.0,0.06576805044304876,0.21623344080634338,0.15046539036329462
C004075,33,49347.24869775712,7,1,78.66015868389874,1,0.2017422565586156,0.06716224580051919,129,0,0,0.0,0.02940464289076412,0.14021325735350196,0.11080861446273783
C012965,41,148149.71751711261,36,5,116.35741438763012,5,0.4436804481287051,0.18014437823022403,212,1,0,0.0,0.03321676134083486,0.17396171318609405,0.1407449518452592
C005195,64,33950.464459513474,43,3,148.33437880408377,5,0.6381829905378825,0.1295160649555971,38,0,0,0.0,0.057414345646111316,0.02305234308627408,-0.034362002559837235
C016297,51,,41,8,112.77712133591041,17,0.07876028166086844,0.03812131891393907,207,1,0,0.0,0.027636030938773253,0.06924218930328058,0.041606158364507324
C008249,35,25558.403146646346,11,5,89.76885002174991,13,0.08359685860878142,0.25392447444768,204,0,0,0.0,0.020584593920272096,0.13166643018679883,0.11108183626652673
C005850,44,77362.2870976754,52,5,85.12220753186978,8,0.3456604824165279,0.017176637060659333,219,1,0,0.0,0.0269914038652479,0.11658047912139125,0.08958907525614335
C005226,31,47040.076946131856,53,4,162.50914942118737,3,0.2454487968517267,0.20859348873367084,22,0,0,0.0,0.05735227057554327,0.12704720733913544,0.06969493676359217
C012224,48,65496.36135361009,11,3,109.10873423469884,6,0.11506321947764213,0.45773158386663726,358,0,0,0.0,0.010681806201673374,0.13671961998963778,0.12603781378796441
C003887,55,,38,6,79.56543911751639,9,0.1288951194256121,0.6480268551913749,213,0,0,0.0,0.02541030260447094,0.21655397289539968,0.19114367029092874
C004521,28,68755.68362535587,16,0,72.89589975582356,1,0.21812870675041676,0.28137376687161075,144,0,0,0.0,0.027997902467977516,0.1418071278568008,0.11380922538882329
C007179,51,74169.23994226729,54,4,104.4274001946319,6,0.4113925289586801,0.3705194363993311,326,1,0,0.0,0.015589606492142681,0.20680466559833957,0.19121505910619688
C009865,25,61411.70699564638,14,1,101.85911537536413,6,0.3953728343911974,0.043556029157247544,153,0,0,0.0,0.029997107678848875,0.15094876344808184,0.12095165576923296
C019292,41,147451.15519267975,26,3,31.780531838479817,12,0.7641847453409156,0.1602437903747847,118,1,1,38.41110417377784,0.05511648323741236,0.16932382734903614,0.11420734411162378
C008288,69,,48,4,110.55733967511851,12,0.24842310074756635,0.43622175833811355,299,1,0,0.0,0.015307661910068316,0.0,-0.015307661910068316
C019790,45,49142.72080375461,18,4,102.84260208753524,5,0.2049380420705051,0.21353022937322108,310,0,0,0.0,0.014049908771822,0.08276077703022221,0.06871086825840021
C011582,26,31557.129518312053,31,3,24.437947079748753,6,0.15513710992364924,0.3820231734770591,119,0,0,0.0,0.030487513771500305,0.1729114555794629,0.1424239418079626
C016296,53,32578.85814253587,23,1,108.15498601519963,0,0.19841394639924792,0.4300707075531649,204,0,0,0.0,0.018771512505316123,0.1406004793426812,0.12182896683736506
C005043,64,57573.01074396848,17,2,111.99107258138201,6,0.09981590311370105,0.6434334586788074,336,1,0,0.0,0.010966469213905603,0.017827489343983566,0.006861020130077963
C003942,54,65727.93800468711,55,7,73.69305282911736,18,0.2743096468896493,0.4224141284134634,143,0,0,0.0,0.04018892672201114,0.1940788969828775,0.15388997026086637
C019345,44,40369.48667955813,39,4,110.5330978774092,8,0.0408620179181745,0.03164348643528767,1,1,0,0.0,0.05586354165127823,0.12541606210695005,0.06955252045567183
C003166,34,59914.07964482103,34,4,81.47484729570616,5,0.5170019456456576,0.7052662074740166,347,0,0,0.0,0.014198463165655402,0.2150207614113665,0.2008222982457111
C005145,44,44851.222954383105,41,5,15.903239182786749,8,0.45975522375002925,0.07085671593960281,318,0,0,0.0,0.01579941485599834,0.0999465940185287,0.08414717916253037
C011492,37,102676.787760143,51,12,143.75865471077276,21,0.18178393087166647,0.03147879475329006,185,1,0,0.0,0.04351350077845025,0.13181349438441695,0.08829999360596669
C005964,68,60882.36972515361,59,11,86.15856031503083,20,0.20463036955753566,0.29074997327721386,214,1,0,0.0,0.032980547652567804,0.004016633903971698,-0.028963913748596106
C008590,40,51724.91912536373,23,7,78.80566732056624,17,0.8368800082370584,0.3933279349743402,82,1,0,0.0,0.06693351371636898,0.2691229844402672,0.20218947072389826
C002268,26,95949.30871812678,33,4,163.68264510608196,15,0.522482307355375,0.5365119628258268,360,1,0,0.0,0.014652268385089538,0.18763602390987008,0.17298375552478054
C013048,56,158617.494075834,34,3,124.33072959291108,4,0.3298354201527876,0.1856292327142298,228,0,0,0.0,0.026747884611164816,0.1447690699404744,0.11802118532930958
C017066,66,64288.395004486665,13,3,91.32012911912112,10,0.4176213819832755,0.1039576177213064,175,1,0,0.0,0.030297677425188418,0.0,-0.030297677425188418
C006053,39,74539.21654640156,6,3,86.67999345075818,10,0.25476717464037524,0.12959185033752502,322,0,0,0.0,0.014025464788268016,0.0873988320790769,0.07337336729080887
C006979,19,53295.51295589836,13,4,36.94880774236692,5,0.36056146430860025,0.2069006652070032,50,1,0,0.0,0.054322996032548254,0.18563268863112775,0.1313096925985795
C003687,34,24887.249806273307,21,4,148.28669692451822,5,0.1881573287395445,0.5324690136865688,196,0,0,0.0,0.021343054163935355,0.17837877904160915,0.15703572487767378
C015499,60,32763.022734357986,28,2,136.24952901030477,5,0.38792038127835593,0.6368734731550478,292,0,0,0.0,0.014055527453200357,0.18303042124594815,0.1689748937927478
C013769,65,44902.892815275074,47,4,117.3015168562123,6,0.39429595908169923,0.07380678250272461,281,1,0,0.0,0.017474971209544662,0.0,-0.017474971209544662
C010073,28,55176.06089460325,38,5,93.06579027464583,5,0.2705794014572438,0.3432871658731956,171,0,0,0.0,0.030768589038440545,0.15540402738837913,0.1246354383499386
C019968,54,49514.74050923152,32,7,86.12995732817164,10,0.31809955063252504,0.2675010248157632,49,0,0,0.0,0.06077361886221496,0.21294131377560113,0.15216769491338616
C005826,48,,4,1,78.0263408922489,3,0.12218190914105856,0.31369055130295437,66,0,0,0.0,0.03613383912773781,0.11933063507062168,0.08319679594288387
C003705,37,45122.09763355323,31,5,94.65464754773136,11,0.0938456905741759,0.6910012048856642,355,0,0,0.0,0.011002085942116473,0.16170636660209267,0.1507042806599762
C018296,40,80451.51018464648,52,5,133.33602431926676,19,0.4508899206025372,0.3286125918217762,105,0,0,0.0,0.04952761517803684,0.17474530916519648,0.12521769398715965
C017394,49,138430.29972806227,42,9,116.60405998854178,16,0.31359039736081623,0.25619953159591574,173,1,0,0.0,0.04502204435143027,0.16696892862463025,0.12194688427319998
C007102,35,84399.23296369925,59,12,140.2447338197875,25,0.33342454344554623,0.28370745349930887,205,0,0,0.0,0.04095042156721593,0.17048751855632158,0.12953709698910565
C019914,68,62512.998630312024,21,1,77.02763868103834,2,0.02301721745472424,0.2062268756486587,43,0,0,0.0,0.0427448565603538,0.0,-0.0427448565603538
C014725,65,42863.64040337417,53,9,92.89982600842433,32,0.1538737561863956,0.3575574513014077,105,1,0,0.0,0.04613884336341433,0.023733564843985165,-0.022405278519429167
C003520,18,42054.746298562706,50,2,114.25826929065437,9,0.17025264103022594,0.17151767362147724,342,0,0,0.0,0.010359027823248195,0.09009607978243439,0.07973705195918619
C015537,21,53938.67966200304,10,1,125.35945756073936,7,0.1113025060341813,0.05497709374128804,17,0,1,119.58323890123368,0.049070411694111055,0.123129420287086,0.07405900859297494
C015791,34,23496.752957318717,38,3,92.11510020336658,10,0.4975727787505818,0.6530869538353221,267,1,0,0.0,0.016508302435662744,0.19540496005369135,0.1788966576180286
C005395,30,20171.7802510083,26,1,106.23263428699649,6,0.24745975139818063,0.5029194103798321,289,1,0,0.0,0.011511644169723704,0.13584778977686757,0.12433614560714386
C008584,69,53572.148971031784,12,3,128.35478056726413,11,0.11040307740188121,0.4477305995171537,47,1,0,0.0,0.04670838309835495,0.006319997393798897,-0.04038838570455605
C010116,39,25834.638613300183,14,2,57.67262540148748,4,0.35107797601952345,0.10289322429079409,13,0,0,0.0,0.05109983239247464,0.1619197484096913,0.11081991601721666
C010388,48,63616.554432831,1,1,142.93834099469487,2,0.18206116710796896,0.35070837024706475,65,1,0,0.0,0.0416544873004255,0.167311369780514,0.1256568824800885
C015189,39,50794.48884676994,10,5,49.253131549586314,12,0.1710277250974454,0.4440051424246833,363,1,0,0.0,0.011247110766759228,0.12449060590023979,0.11324349513348056
C012688,52,39023.10843903213,51,6,137.56257546760185,17,0.31365697550590077,0.36442882055879916,65,0,0,0.0,0.05128328792316822,0.20001286015750572,0.1487295722343375
C007790,30,49111.64585876441,35,3,108.75113165819363,4,0.287285102719437,0.20735695043676264,311,0,0,0.0,0.013857929841497307,0.11578359931209038,0.10192566947059307
C003972,64,46789.39738716737,6,2,117.93481099899353,4,0.26935677661808627,0.29178014425009324,192,1,0,0.0,0.023234805746219275,0.0,-0.023234805746219275
C008207,35,72298.53312942079,59,3,89.67178432287912,7,0.36704138409616344,0.5713872574389014,194,1,0,0.0,0.027579297249474517,0.18887375888571264,0.16129446163623812
C009424,26,69224.86777684673,11,3,49.35903057196725,5,0.4286474457080734,0.6647218241519987,288,1,0,0.0,0.01779978408210452,0.20410123450241416,0.18630145042030963
C013195,23,115141.94556155097,14,2,81.27781336581151,5,0.616813996597003,0.2344528507836423,43,1,0,0.0,0.06662268045674245,0.20220563849989787,0.1355829580431554
C017284,36,103299.68778892627,50,7,48.42278970594293,16,0.10575813586050051,0.0033826669547111273,28,0,0,0.0,0.06965515147978248,0.13976376673706453,0.07010861525728206
C014882,36,115225.69712344106,33,5,44.28508350280108,11,0.47837624754157093,0.1610946331369157,117,0,0,0.0,0.05074627439620185,0.13982748495382347,0.08908121055762161
C002459,65,51863.999163738896,44,6,94.49515129961794,14,0.5606004235183576,0.03895245867588361,207,1,0,0.0,0.030847107094592995,0.0,-0.030847107094592995
C019294,27,45494.93978978541,21,4,115.89183232726968,6,0.38374073228391015,0.25160586899534876,331,0,0,0.0,0.01362656244908667,0.15264673990204575,0.13902017745295908
C008077,43,168457.22963528836,25,5,100.88347165746464,17,0.18792321374218288,0.7087202749628794,71,1,0,0.0,0.059072164897900944,0.22414024219449297,0.165068077296592
C008493,69,55590.26016640399,49,6,117.22549181416244,7,0.14977228182410354,0.15769677594040402,253,0,0,0.0,0.020453877347622648,0.0,-0.020453877347622648
C009013,27,75314.45948468824,16,2,55.27054779919048,3,0.18418961432897812,0.6001229436841236,140,0,0,0.0,0.031493458922238315,0.1961109599856985,0.16461750106346018
C018507,32,54098.590460807725,48,4,86.23312100937544,8,0.4420535029361181,0.03331539523968525,160,0,0,0.0,0.033465037882580116,0.12224498780334775,0.08877994992076763
C014624,43,68563.00196359264,49,6,89.38305477830747,11,0.16337997579102634,0.16851253858475326,347,0,0,0.0,0.01351745255775888,0.1061364435506567,0.09261899099289782
C016272,35,52217.546052467456,57,9,99.46678017103899,27,0.1663017072694291,0.5677627225952758,302,1,1,108.88546406658898,0.018557124352248003,0.18292772812785468,0.1643706037756067
C009401,29,55280.11573197482,12,3,202.96258298231842,6,0.3764831386378107,0.06204719338126815,321,0,0,0.0,0.014109730735834214,0.0844056170296697,0.07029588629383549
C013370,48,30284.009557799764,40,2,128.87229045997188,5,0.27440072160424517,0.010019577994836383,188,1,0,0.0,0.021815442449629078,0.12396090372189933,0.10214546127227025
C019623,43,99018.77754240537,40,4,136.19756779890312,12,0.3881664452652395,0.13593152219985888,312,0,0,0.0,0.017476631583997152,0.13839686946324622,0.12092023787924908
C002513,25,52299.982809982306,5,0,85.15420440213529,1,0.6426814821084377,0.6561425974521028,164,1,0,0.0,0.029607737595704516,0.2473715794633664,0.2177638418676619
C005048,63,76087.64714470076,26,4,79.94977948123314,5,0.3227029575575451,0.008062007450608056,202,1,0,0.0,0.02752697413178212,0.0,-0.02752697413178212
C015817,57,96303.35969482089,14,4,63.66000915780287,7,0.28594960977625944,0.0020368261370728035,319,1,0,0.0,0.015970239924668665,0.06913408133661217,0.053163841411943503
C005166,66,65321.12719749831,32,3,94.60604685062758,4,0.30821653638681895,0.2912747852544456,32,0,0,0.0,0.05719283038652953,0.002287725427683296,-0.054905104958846235
C010501,21,56831.215962691735,50,5,75.40289076502214,7,0.43793367427356605,0.3394168176601375,59,1,0,0.0,0.0573014509626492,0.17822853967827545,0.12092708871562625
C012839,37,58706.747571506596,46,2,67.99044221992932,2,0.4587041260764013,0.028530440836407527,284,1,0,0.0,0.016980862663514246,0.11548278938842686,0.09850192672491262
C008159,61,33540.454524184825,6,0,72.97254235561749,2,0.15916359762265597,0.6204656149147169,156,1,0,0.0,0.02230749821055716,0.05565206788986543,0.03334456967930827
C017051,69,43382.62063983421,9,0,133.62740535591408,0,0.45448504271753526,0.3950002889943291,310,0,0,0.0,0.012727886859298949,0.0,-0.012727886859298949
C016086,37,43705.6316901203,35,5,199.9581020735699,6,0.13668930233442297,0.018305508259832355,40,1,0,0.0,0.05173180673709239,0.12830783262126555,0.07657602588417316
C002468,33,57240.59018944297,21,1,100.33940039004572,4,0.08462201517601843,0.0699489998358574,175,0,0,0.0,0.02285107430196852,0.0820076176028646,0.05915654330089608
C006062,63,49890.64057501644,27,9,115.20245480705628,25,0.34919199496469516,0.010256266634455604,344,0,0,0.0,0.016369315668448785,0.0,-0.016369315668448785
C001148,25,,28,7,81.54107554131213,23,0.3498503038749834,0.021530464435348756,190,1,0,0.0,0.03480337407596981,0.12293244684889526,0.08812907277292545
C004326,18,95490.72095314223,6,1,78.80192293467937,2,0.2453345134325627,0.3850259897450812,288,0,0,0.0,0.015705231683817156,0.13308537116109007,0.11738013947727291
C005631,37,33542.638752624836,42,2,87.267405288197,5,0.2555650805721771,0.25063203781601223,199,0,0,0.0,0.020896440688088855,0.13544522629044292,0.11454878560235407
C010194,61,42287.67443451455,44,4,131.5393805781214,5,0.3325888460846166,0.0451615878538893,94,0,0,0.0,0.041598166597141724,0.0,-0.041598166597141724
C018703,64,55803.33877836399,52,9,151.66544110483176,14,0.28019691056563195,0.4656572516364359,189,0,0,0.0,0.0344582996118495,0.03853723657649334,0.004078936964643842
C019827,34,111449.93713052505,33,0,101.15265355240237,0,0.2736648472592098,0.17197681245732843,178,0,0,0.0,0.02678254757418304,0.12410111247642742,0.09731856490224439
C002715,31,55317.85214631442,36,6,74.2612595131609,19,0.08859107911311946,0.05247393355629074,104,1,0,0.0,0.040875504003289084,0.12924487461788353,0.08836937061459445
C005000,36,38573.20599670197,50,7,89.84250319089695,20,0.0824594002490521,0.1729179567692257,292,1,0,0.0,0.01597441806446611,0.12715285675293167,0.11117843868846555
C019956,37,36502.422194414845,42,4,90.83066128329311,6,0.06383916140418658,0.012388540398307583,144,1,0,0.0,0.027895191597914235,0.13232780501628566,0.10443261341837143
C004983,65,59140.951577436455,20,4,56.42203990909997,9,0.06795993097429455,0.17990759822649835,6,0,0,0.0,0.05938792329144409,0.007164382384601313,-0.05222354090684278
C002725,31,81774.72655214863,4,1,77.87371406120832,2,0.4119167929520134,0.11501364024410171,324,1,0,0.0,0.013848233856136219,0.1215271136702587,0.10767887981412248
C007153,56,62332.39906895919,13,2,100.39784704263583,5,0.10825170296716227,0.42527103016458717,342,1,0,0.0,0.010859646404995949,0.1157566933373099,0.10489704693231394
C019269,37,32036.471807073623,58,7,175.08693995305936,20,0.3676721272771214,0.10457398056978857,265,0,0,0.0,0.02022916082973615,0.16144024636197368,0.14121108553223755
C005208,39,106947.23508455956,22,7,82.38506519513827,16,0.23407435676674995,0.1553383980351016,69,1,1,79.8352206292297,0.061462227365948,0.1567771371306373,0.09531490976468929
C016832,41,49090.80274542459,17,5,80.53674459189591,9,0.39103137122651355,0.5544866633817453,263,1,1,80.99168249972443,0.02036914481810485,0.19307860756126963,0.1727094627431648
C006259,46,61994.964788374455,26,2,99.73568777134977,3,0.2695336829683295,0.42402629060710717,98,0,0,0.0,0.038708178237952556,0.2096338006403839,0.17092562240243134
C008118,34,77464.92791881302,40,4,58.328118380899554,7,0.1463945847971849,0.5891511920014403,326,1,0,0.0,0.013799296827070059,0.17888791791447045,0.16508862108740038
C005372,36,47326.73002320463,56,3,137.7025368575057,8,0.23570638523416165,0.7969437748810766,197,0,0,0.0,0.023473348814184645,0.23231575208038965,0.208842403266205
C018641,53,24001.11940289337,35,5,125.24912375527053,15,0.5911356230763176,0.04069798868875779,320,0,0,0.0,0.01475633221978882,0.1210406873563435,0.10628435513655468
C002560,38,36803.906606633085,23,2,140.0660788280714,5,0.24641073526666882,0.12434210632283338,356,1,0,0.0,0.009775248282697652,0.0982974818749307,0.08852223359223305
C010205,46,35713.610748539584,57,7,95.42262183279047,15,0.2625694578682295,0.3646906180239527,1,0,0,0.0,0.06971902045307528,0.18106492819364384,0.11134590774056856
C007349,21,45039.20332750747,18,3,115.97254674472802,9,0.42780076478054724,0.2993696354318972,351,0,0,0.0,0.01198552638768908,0.1352911621282002,0.12330563574051111
C004848,21,45660.35326190551,37,3,98.05892404366779,8,0.6528320894417432,0.10971632970314876,104,1,0,0.0,0.04471321574861209,0.1800770144801292,0.1353637987315171
C018706,69,51681.86860755247,23,7,133.08502949708407,14,0.19178617923424748,0.47702331849695223,83,0,0,0.0,0.04914950305597176,0.04763717604333472,-0.001512327012637038
C010791,19,,40,3,102.51827146060319,10,0.13192047474000404,0.08307389313364147,94,1,0,0.0,0.034509447940412295,0.12510902843535632,0.09059958049494402
C007662,24,71669.01805540454,9,1,126.34342885634041,2,0.26892627236731415,0.10157631109907773,81,1,0,0.0,0.04114924904709972,0.15476770008030177,0.11361845103320206
C010670,27,32863.886778962114,41,1,93.92228346964254,2,0.4776925960993389,0.19309792005947218,150,0,0,0.0,0.028056334085793746,0.13730382881670478,0.10924749473091103
C002389,32,39114.148073164404,56,2,122.93294734704047,5,0.5156632191639681,0.13677004602308843,26,0,0,0.0,0.056185223380271994,0.18804077235903124,0.13185554897875926
C000504,39,79864.14707358053,45,3,92.3041996547806,2,0.3837594569237077,0.032891171623905154,17,1,0,0.0,0.06602233278564194,0.1361019795760861,0.07007964679044416
C003801,31,25790.93812946035,4,0,114.96799895036223,0,0.22143048087275574,0.12670738071668894,8,1,0,0.0,0.04471568293375692,0.1458021470166302,0.10108646408287328
C002190,52,58929.99775733031,20,2,96.8852406451631,5,0.14485093105988484,0.08531060954572565,315,1,0,0.0,0.01249677584132299,0.08658977759758896,0.07409300175626597
C002982,57,103170.3546717167,59,6,102.51437482548161,10,0.24919577967689693,0.1907655160890006,124,0,0,0.0,0.04519458007804025,0.13478518637518394,0.08959060629714369
C012286,66,64489.32236720466,48,5,82.85655885123386,11,0.22749531326369116,0.01245561817439911,13,0,0,0.0,0.06596700869716675,0.010207506639300604,-0.055759502057866145
C004150,25,39977.48682469638,51,7,141.8457043964545,20,0.4989239510991302,0.4677876898081392,147,1,0,0.0,0.03991462815886004,0.22182259752366387,0.18190796936480383
C012558,42,124449.82027719496,9,2,65.73087880362289,4,0.053480324362298354,0.1746538792465754,178,1,0,0.0,0.027096405339653434,0.11029575515730836,0.08319934981765492
C012105,51,48804.05819924941,32,2,72.85686182487372,6,0.2819851397524549,0.2077641663221639,301,1,0,0.0,0.013804644954870184,0.10647607335746946,0.09267142840259927
C003636,51,44580.01043096965,6,3,99.3547709475781,4,0.05618126877409302,0.10018053320188795,6,1,0,0.0,0.05341056647948171,0.15641207046640723,0.10300150398692552
C012530,41,20289.362103668478,28,4,97.24120361887027,6,0.3245670023075864,0.18919025338890133,298,1,0,0.0,0.013280332969504012,0.12372055881667504,0.11044022584717103
C003711,66,51389.79791626097,57,5,88.75742845574199,11,0.34608054962630463,0.30663425278017403,286,1,0,0.0,0.01796015142339954,0.0017517864296901914,-0.01620836499370935
C012420,22,70484.60492665837,5,0,74.01664644393696,1,0.5103784851810016,0.4195276610903159,355,1,0,0.0,0.011530791707479188,0.1527989217911677,0.1412681300836885
C018952,60,63830.63909270379,56,5,102.83644481771587,12,0.114492170258855,0.06086843605780981,72,1,0,0.0,0.047249461242572635,0.12899218487382438,0.08174272363125175
C011551,30,103652.17400152273,31,1,70.46270743472485,4,0.35433684536914106,0.133315935738284,196,0,0,0.0,0.026415645212814358,0.14136838871255197,0.11495274349973761
C012217,40,79604.34068292064,24,3,139.9625627586831,5,0.5127711776177245,0.05416211852322403,311,1,0,0.0,0.017029946740521926,0.11070056945053837,0.09367062271001644
C015974,30,55289.72819161026,10,2,57.778080390419255,6,0.1159601906164029,0.2555698003942094,270,1,0,0.0,0.0151885689979213,0.15065998535663178,0.13547141635871046
C004473,28,78361.7374298629,33,9,123.55494687580324,14,0.36689060604625306,0.2522362567363305,254,1,0,0.0,0.02801249891506833,0.15828809877821992,0.1302755998631516
C012051,48,,39,9,144.3070607902545,19,0.19394589132813334,0.06509705264685398,199,1,0,0.0,0.03667307912015081,0.13482012521249903,0.09814704609234823
C012106,66,60849.49619985379,44,5,142.49593571230963,11,0.5169323151812678,0.026528396448351893,29,0,0,0.0,0.0693151164852506,0.059944102868161694,-0.009371013617088905
C011733,60,140161.7102838981,6,3,96.29884854883076,10,0.206220522190439,0.17486432698403181,296,0,0,0.0,0.017623611206534984,0.15762161827265123,0.13999800706611623
